mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,Player
0.936,0.5181,-0.0456,1.9037,0.0054,0.0092,9145.7266,2807.9157,1.0038,Masashiro Kuroda
0.6495,0.5098,-0.3734,1.5781,0.0047,0.0108,11933.7694,2617.55,1.002,Ian Starkebaum
-0.8424,0.6718,-2.0532,0.457,0.0071,0.013,8874.1759,2481.3006,1.0003,Thomas Chenery
1.2385,0.5433,0.226,2.2724,0.0055,0.011,9807.3732,2599.4056,1.001,Jesse Hampton
1.3588,0.5696,0.3348,2.4555,0.0053,0.0097,11544.3248,3033.1235,1.0003,Max Rappaport
-0.3683,0.529,-1.348,0.6247,0.0053,0.0099,10079.9572,2820.1088,1.0024,Simon Nielsen
1.115,0.5846,0.0382,2.1956,0.0059,0.0099,9678.4929,2962.9239,1.002,Henry Mildenstein
-0.6382,0.6976,-1.8915,0.6891,0.0076,0.0138,8454.6652,2901.0012,1.0006,Trevor Georgesz
-1.038,0.7291,-2.3545,0.3805,0.0073,0.0127,10096.7003,3107.6431,0.9998,Kenith D'souza
1.1235,0.5595,0.0799,2.2186,0.0057,0.0108,9548.0207,3034.1862,0.9994,Luis Martin
1.1206,0.5219,0.1745,2.138,0.0054,0.0088,9469.3885,3073.7312,1.0025,Victor Hawkins
0.5789,0.5232,-0.3538,1.6084,0.0051,0.0086,10311.9244,3278.6489,1.0007,Mark Stanton
-1.1205,0.8112,-2.6614,0.3641,0.0079,0.0165,10462.1091,2571.3734,1.0023,Calvin Chen
0.3156,0.5442,-0.6808,1.3129,0.0059,0.0095,8382.4427,2973.7121,1.0025,Matt Nass
-0.5321,0.719,-1.9567,0.736,0.0076,0.013,8915.2564,2758.9567,1.0005,Mohamad Qadi
-0.4881,0.6264,-1.6582,0.695,0.007,0.0104,7921.5835,3089.0926,1.0003,Ian Robb
0.7876,0.5393,-0.2055,1.833,0.0062,0.0094,7580.6246,2899.1921,1.0011,Francesco Ruvolo
-0.2975,0.539,-1.3131,0.7129,0.0062,0.0086,7598.5719,3487.6203,1.0002,Perry Feng
0.7767,0.5129,-0.228,1.6697,0.0053,0.0095,9453.5824,2768.6205,1.0014,Marc Peral
1.1954,0.5948,0.1343,2.4153,0.0065,0.0097,8355.2798,3245.4936,0.9995,Gabriel Nassif
0.4897,0.5116,-0.4531,1.4468,0.0055,0.0103,8727.9543,2633.1279,1.0017,Charis Kikidis
1.7749,0.5914,0.6766,2.9092,0.0059,0.0107,10124.5345,2629.564,1.0008,Justin Schabel
-0.524,0.675,-1.7639,0.785,0.0071,0.0126,8989.0161,3035.8894,1.0021,Ben Zhang
-0.2431,0.6586,-1.4964,0.9674,0.0063,0.0115,11062.8491,3074.0223,1.0004,Max Milechman
-1.3109,0.72,-2.6035,0.0581,0.0069,0.0128,10920.9268,2793.7984,1.0002,Pieter Tubergen
0.135,0.5129,-0.8065,1.1244,0.0055,0.0089,8677.5525,3058.96,1.0019,Xander Naumenko
0.4114,0.5232,-0.5568,1.3775,0.0057,0.0099,8535.2518,2855.9243,1.0002,William Araujo
0.771,0.5593,-0.2432,1.8637,0.0058,0.0102,9348.7917,3182.9971,1.0017,Max Medeiros
0.5196,0.5453,-0.4926,1.5457,0.0054,0.0107,10184.3229,2628.5809,1.0042,Zachary Kiihne
-1.0054,0.8475,-2.5927,0.5421,0.0079,0.0156,11481.7657,2806.3989,1.0019,Eduardo Dos Santos Vieira
-1.0398,0.6876,-2.2913,0.304,0.0073,0.0145,8904.6618,2700.3329,1.003,Riku Kumagai
0.1455,0.5126,-0.8478,1.1091,0.0051,0.0107,10385.0724,2562.6883,1.0015,Willy Edel
0.6259,0.5824,-0.5198,1.6702,0.0058,0.0118,10102.8068,2762.1767,1.0012,Yimin Zhi
0.0475,0.5589,-1.0116,1.0484,0.0059,0.0104,8912.7951,3029.3402,1.0042,Ryan Donkin
0.6325,0.5331,-0.3483,1.624,0.0055,0.009,9375.1578,3374.3782,1.0016,Paul Green
0.5921,0.5834,-0.5394,1.6572,0.0067,0.01,7584.4395,2967.9464,1.0005,Kenta Harane
-0.9194,0.7996,-2.3663,0.6591,0.0089,0.0146,8020.3389,3037.5167,1.0023,Kenta Masukado
0.2408,0.5948,-0.8976,1.3271,0.0066,0.0099,8036.0844,3287.7932,1.0001,Paul Tsao
-0.7581,0.7497,-2.2458,0.5068,0.0077,0.0131,9472.2408,2915.1761,1.001,Nathan Basser
-0.549,0.6614,-1.8209,0.6659,0.0064,0.0114,10638.287,2862.0063,1.0015,Tristan Wylde-LaRue
0.5735,0.5695,-0.4913,1.6363,0.006,0.0105,8966.6492,2789.5104,1.0019,Joshua Willis
-0.1404,0.5837,-1.295,0.9163,0.0064,0.0098,8296.6717,3042.7122,0.9997,Caz Rodriguez
-1.307,0.6561,-2.5237,-0.088,0.0072,0.011,8269.4534,3127.8605,1.0028,Marco Vay
0.8447,0.5389,-0.2073,1.8222,0.0057,0.0089,9036.7918,3075.3062,1.0004,Derrick Davis
1.5435,0.5629,0.4488,2.5594,0.0063,0.0096,8042.2782,3401.7437,1.001,Sergio Garcia
0.3898,0.5252,-0.5753,1.3736,0.0052,0.0092,10420.2287,3000.0883,0.9998,Huaxing Bai
0.7464,0.5217,-0.2354,1.7329,0.0052,0.0091,9984.9284,3068.9768,1.001,David Inglis
1.9183,0.56,0.8931,3.0068,0.0054,0.0102,10863.741,2384.37,1.0048,Jonny Guttman
-1.3857,0.7334,-2.7864,-0.0437,0.0073,0.013,10170.6161,3057.1069,0.9996,Connor Mullaly
-0.2331,0.6975,-1.5103,1.084,0.007,0.0125,9973.7553,3273.9122,1.0008,Matt Sikkink Johnson
0.0709,0.6832,-1.2042,1.3493,0.0071,0.0124,9417.9496,3104.9608,1.0035,Adam Brace
-0.7859,0.6938,-2.1225,0.4993,0.0068,0.0119,10443.4806,3118.7057,1.0011,Amber Thurlow
-0.176,0.548,-1.19,0.8542,0.006,0.0098,8208.8493,2932.9597,1.0007,Etienne Eggenschwiler
-0.2269,0.689,-1.4998,1.0599,0.0068,0.0128,10298.6852,2714.0993,1.0002,Lucca LiPuma
